"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CEPP 316","YYY","CATHOLIC EDUCATIONAL LEADERSHIP: SHEPHERDING SCHOOL IDENTITY AND CULTURE","3","TBA(FULLY ONSITE)","TBA","ALVAREZ, SJ, FR. FRANCIS","25","ENG","G","10","*Learning Collaboratory Schedule (onsite): June 17, 18, 19, 20, & 21, 2024; 8:00 AM-5:00 PM","N","N"
"CEPP 352","YYY1","EDUCATIONAL TECHNOLOGY: DESIGNING MISSION-CENTERED INNOVATIONS IN EDUCATION","3","TBA(FULLY ONSITE)","TBA","GO, SJ, JOHNNY C.","25","ENG","G","6","*Learning Collaboratory Schedule:June 15, 22, 29, 2024; 8:00 am-5:00 pm","N","N"
