"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ACCT 115","O","FINANCIAL ACCOUNTING","3","F 1600-2000; T 1500-1830(FULLY ONSITE)","SOM 102; SOM 102","DUHAYLONGSOD, Jose Maria","30","ENG","U","6","-","N","N"
"FINN 113","M","PRINCIPLES OF FINANCE","3","F 0800-1200; T 0800-1130(FULLY ONSITE)","CTC 308; CTC 308","MADARANG, Emmanuel Richard","30","ENG","U","8","-","N","N"
"FINN 115","J","FINANCIAL MANAGEMENT","3","M 1130-1500; TH 1200-1600(FULLY ONSITE)","CTC 406; CTC 406","GARCIA, Igor Expeditus","35","ENG","U","9","-","N","N"
"FINN 115","K","FINANCIAL MANAGEMENT","3","M 1500-1830; TH 1600-2000(FULLY ONSITE)","CTC 406; CTC 406","GARCIA, Igor Expeditus","35","ENG","U","0","-","N","N"
"FINN 117","I","ENTREPRENEURIAL FINANCE","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","CTC 308; CTC 308","MADARANG, Emmanuel Richard","30","ENG","U","0","-","N","N"
"FINN 124","I","EQUITY INVESTMENT ANALYSIS","3","M 0800-1130; TH 0800-1200(FULLY ONSITE)","CTC 406; CTC 406","CHAN, Beatrice Marie, SEVIDAL, ALFONSO MIGUEL N.","35","ENG","U","28","-","N","N"
